Subject,Predicate,Object
landlocked sea,disconnected_from,ocean
oceanic island,disconnected_from,continental shelf
part of,example of usage,"my brain is part of my body (continuant parthood, two material entities)"
part of,example of usage,"my stomach cavity is part of my stomach (continuant parthood, immaterial entity is part of material entity)"
part of,example of usage,this day is part of this year (occurrent parthood)
has part,example of usage,"my body has part my brain (continuant parthood, two material entities)"
has part,example of usage,"my stomach has part my stomach cavity (continuant parthood, material entity has part immaterial entity)"
has part,example of usage,this year has part this day (occurrent parthood)
realized in,example of usage,this disease is realized in this disease course
realized in,example of usage,this fragility is realized in this shattering
realized in,example of usage,this investigator role is realized in this investigation
realizes,example of usage,this disease course realizes this disease
realizes,example of usage,this investigation realizes this investigator role
realizes,example of usage,this shattering realizes this fragility
partially_surrounded_by,example of usage,a duck swimming in a pond is partially surrounded by air and partially surrounded by water.
results in expansion of,example of usage,afforestation results in the expansion of a forest.
characteristic of,example of usage,this fragility is a characteristic of this vase
characteristic of,example of usage,this red color is a characteristic of this apple
has characteristic,example of usage,this apple is bearer of this red color
has characteristic,example of usage,this vase is bearer of this fragility
participates in,example of usage,this blood clot participates in this blood coagulation
participates in,example of usage,this input material (or this output material) participates in this process
participates in,example of usage,this investigator participates in this investigation
has participant,example of usage,this blood coagulation has participant this blood clot
has participant,example of usage,this investigation has participant this investigator
has participant,example of usage,this process has participant this input material (or this output material)
is concretized as,example of usage,"a journal article is an information artifact that inheres in some number of printed journals. for each copy of the printed journal there is some quality that carries the journal article, such as a pattern of ink. the journal article (a generically dependent continuant) is concretized as the quality (a specifically dependent continuant), and both depend on that copy of the printed journal (an independent continuant)."
is concretized as,example of usage,"an investigator reads a protocol and forms a plan to carry out an assay. the plan is a realizable entity (a specifically dependent continuant) that concretizes the protocol (a generically dependent continuant), and both depend on the investigator (an independent continuant). the plan is then realized by the assay (a process)."
concretizes,example of usage,"an investigator reads a protocol and forms a plan to carry out an assay. the plan is a realizable entity (a specifically dependent continuant) that concretizes the protocol (a generically dependent continuant), and both depend on the investigator (an independent continuant). the plan is then realized by the assay (a process)."
concretizes,example of usage,"a journal article is an information artifact that inheres in some number of printed journals. for each copy of the printed journal there is some quality that carries the journal article, such as a pattern of ink. the quality (a specifically dependent continuant) concretizes the journal article (a generically dependent continuant), and both depend on that copy of the printed journal (an independent continuant)."
function of,example of usage,this catalysis function is a function of this enzyme
quality of,example of usage,this red color is a quality of this apple
role of,example of usage,this investigator role is a role of this person
has function,example of usage,this enzyme has function this catalysis function (more colloquially: this enzyme has this catalysis function)
has quality,example of usage,this apple has quality this red color
has role,example of usage,this person has role this investigator role (more colloquially: this person has this role of investigator)
derives from,example of usage,this cell derives from this parent cell (cell division)
derives from,example of usage,this nucleus derives from this parent nucleus (nuclear division)
derives into,example of usage,this parent cell derives into this cell (cell division)
derives into,example of usage,this parent nucleus derives into this nucleus (nuclear division)
location of,example of usage,my head is the location of my brain
location of,example of usage,this cage is the location of this rat
located in,example of usage,my brain is located in my head
located in,example of usage,this rat is located in this cage
connected to,example of usage,a 'toe distal phalanx bone' that is connected to a 'toe medial phalanx bone' (an interphalangeal joint *connects* these two bones).
connects,example of usage,a 'toe distal phalanx bone' that is connected to a 'toe medial phalanx bone' (an interphalangeal joint *connects* these two bones).
connects,example of usage,the m8 connects glasgow and edinburgh
capable of,example of usage,mechanosensory neuron capable of detection of mechanical stimulus involved in sensory perception (go:0050974)
capable of,example of usage,osteoclast subclassof 'capable of' some 'bone resorption'
adjacent to,example of usage,"a caterpillar walking on the surface of a leaf is adjacent_to the leaf, if one of the caterpillar appendages is touching the leaf. in contrast, a butterfly flying close to a flower is not considered adjacent, unless there are any touching parts."
adjacent to,example of usage,the epidermis layer of a vertebrate is adjacent to the dermis.
adjacent to,example of usage,"the plasma membrane of a cell is adjacent to the cytoplasm, and also to the cell lumen which the cytoplasm occupies."
adjacent to,example of usage,the skin of the forelimb is adjacent to the skin of the torso if these are considered anatomical subdivisions with a defined border. otherwise a relation such as continuous_with would be used.
starts with,example of usage,every insulin receptor signaling pathway starts with the binding of a ligand to the insulin receptor
has developmental contribution from,example of usage,mammalian thymus has developmental contribution from some pharyngeal pouch 3; mammalian thymus has developmental contribution from some pharyngeal pouch 4 [kardong]
acts upstream of,example of usage,a faulty traffic light (material entity) whose malfunctioning (a process) is causally upstream of a traffic collision (a process): the traffic light acts upstream of the collision.
acts upstream of or within,example of usage,"a gene product that has some activity, where that activity may be a part of a pathway or upstream of the pathway."
part of developmental precursor of,example of usage,'hypopharyngeal eminence' subclassof 'part of precursor of' some tongue
results in formation of anatomical entity,example of usage,an annotation of gene x to anatomical structure formation with results_in_formation_of uberon:0000007 (pituitary gland) means that at the beginning of the process a pituitary gland does not exist and at the end of the process a pituitary gland exists.
results in formation of anatomical entity,example of usage,"every ""endocardial cushion formation"" (go:0003272) results_in_formation_of some ""endocardial cushion"" (uberon:0002062)"
has habitat,example of usage,"hydrozoa (ncbitaxon_6074) subclassof 'has habitat' some 'hydrozoa habitat'
where
'hydrozoa habitat' subclassof overlaps some ('marine environment' (envo_00000569) and 'freshwater environment' (envo_01000306) and 'wetland' (envo_00000043)) and 'has part' some (freshwater (envo_00002011) or 'sea water' (envo_00002149)) -- http://eol.org/pages/1795/overview"
contributes to,example of usage,"atp citrate lyase (acl) in arabidopsis: it is a heterooctamer, composed of two types of subunits, acla and aclb in a a(4)b(4) stoichiometry. neither of the subunits expressed alone give acl activity, but co-expression results in acl activity. both subunits contribute_to the atp citrate lyase activity."
contributes to,example of usage,"subunits of nuclear rna polymerases: none of the individual subunits have rna polymerase activity, yet all of these subunits contribute_to dna-dependent rna polymerase activity."
contributes to,example of usage,"eif2: has three subunits (alpha, beta, gamma); one binds gtp; one binds rna; the whole complex binds the ribosome (all three subunits are required for ribosome binding). so one subunit is annotated to gtp binding and one to rna binding without qualifiers, and all three stand in the contributes_to relationship to ""ribosome binding"". and all three are part_of an eif2 complex"
member of,example of usage,an organism that is a member of a population of organisms
tributary of,example of usage,deschutes river tributary_of columbia river
tributary of,example of usage,inferior epigastric vein tributary_of external iliac vein
distributary of,example of usage,deschutes river distributary_of little lava lake
spatially coextensive with,example of usage,a lump of clay and a statue
composed primarily of,example of usage,'otolith organ' subclassof 'composed primarily of' some 'calcium carbonate'
determined by,example of usage,a coral reef environment is determined by a particular coral reef
has part structure that is capable of,example of usage,gland subclassof 'has part structure that is capable of' some 'secretion by cell'
capable of regulating,example of usage,pyrethroid -> growth
capable of positively regulating,example of usage,renin -> arteriolar smooth muscle contraction
has substance added,example of usage,muffin 'has substance added' some 'baking soda'
realized in response to,example of usage,a drought sensitivity trait that inheres in a whole plant is realized in a systemic response process in response to exposure to drought conditions.
realized in response to,example of usage,an inflammatory disease that is realized in response to an inflammatory process occurring in the gut (which is itself the realization of a process realized in response to harmful stimuli in the mucosal lining of th gut)
realized in response to,example of usage,"environmental polymorphism in butterflies: these butterflies have a 'responsivity to day length trait' that is realized in response to the duration of the day, and is realized in developmental processes that lead to increased or decreased pigmentation in the adult morph."
generically depends on,example of usage,genetic information generically depend on molecules of dna.
generically depends on,example of usage,the novel *war and peace* generically depends on this copy of the novel.
generically depends on,example of usage,the pattern shared by chess boards generically depends on any chess board.
generically depends on,example of usage,the score of a symphony g-depends on a copy of the score.
generically depends on,example of usage,this pdf file generically depends on this server.
is carrier of,example of usage,molecules of dna are carriers of genetic information.
is carrier of,example of usage,this copy of *war and peace* is carrier of the novel written by tolstoy.
is carrier of,example of usage,this hard drive is carrier of these data items.
device utilizes material,example of usage,a diagnostic testing device utilizes a specimen.
collection of organisms,example of usage,"examples include: population, community, species (meaning the collection of organisms that makes up a species, not the taxonomic rank), and family."
population of organisms,example of usage,nan
population of organisms,example of usage,this a general term that can include every organism of a species living in an area or any subset of them.  subclasses can be more specific as needed.
nmdc environmental context value sets,seealso,using-envo-with-mixs
nmdc soil value sets,seealso,nan
nmdc soil broad scale value set,seealso,nan
nmdc soil local scale value set,seealso,nan
nmdc soil environmental medium value set,seealso,nan
nmdc water value sets,seealso,nan
nmdc water broad scale value set,seealso,nan
nmdc water local scale value set,seealso,nan
nmdc water environmental medium value set,seealso,nan
nmdc plantassociated broad scale value set,seealso,nan
nmdc plantassociated local scale value set,seealso,nan
nmdc plantassociated environmental medium value set,seealso,nan
temporal interpretation,seealso,nan
part of,seealso,community:parts_and_collections
part of,seealso,submissions:partof
has increased levels of,seealso,1380
obsolete contained in,seealso,693
