Subject,Predicate,Object
oboe-sbc.owl,imports,oboe-chemistry.owl
oboe-sbc.owl,imports,oboe-context.owl
oboe-sbc.owl,imports,oboe-units.owl
oboe-sbc.owl,imports,oboe.owl
giantkelp,equivalentclass,macrocystispyrifera
oboe-sbc.owl,versioninfo,version 1.0
algae,subclassof,organism
animal,subclassof,organism
macrocystisintegrifolia,subclassof,organism
macrocystispyrifera,subclassof,organism
organismtissue,subclassof,organism
plant,subclassof,organism
ammoniumconcentrationprotocol_msiautomated,subclassof,msi_analyticallabprotocols
nitratenitriteconcentrationprotocol_msiautomated,subclassof,msi_analyticallabprotocols
phosphateconcentrationprotocol_msiautomated,subclassof,msi_analyticallabprotocols
silicicacidconcentrationprotocol_msiautomated,subclassof,msi_analyticallabprotocols
ammoniumconcentrationprotocol_msiautomated,subclassof,protocolsbyconstituent
biogenicsilicaprotocol,subclassof,protocolsbyconstituent
chlorophyllphaeopigmentconcentrationprotocol_fluorometricextraction,subclassof,protocolsbyconstituent
nitratenitriteconcentrationprotocol_msiautomated,subclassof,protocolsbyconstituent
phosphateconcentrationprotocol_msiautomated,subclassof,protocolsbyconstituent
silicicacidconcentrationprotocol_msiautomated,subclassof,protocolsbyconstituent
aquifer,subclassof,interstitialwaterbody
beachhabitat,subclassof,ecologicalhabitat
streamhabitat,subclassof,ecologicalhabitat
temperatereef,subclassof,ecologicalhabitat
biogenicsilicaprotocol,subclassof,brzezinskilabprotocols
chlorophyllphaeopigmentconcentrationprotocol_fluorometricextraction,subclassof,brzezinskilabprotocols
brackishwater,subclassof,water
freshwater,subclassof,water
porewater,subclassof,water
salinewater,subclassof,water
brackishwaterdiscretesample,subclassof,brackishwater
brackishwatersensorsample,subclassof,brackishwater
brackishwaterdiscretesample,subclassof,estuary
brackishwatersensorsample,subclassof,estuary
brzezinskilabprotocols,subclassof,protocolsbylaboratory
carlsonlabprotocols,subclassof,protocolsbylaboratory
duganlabprotocols,subclassof,protocolsbylaboratory
msi_analyticallabprotocols,subclassof,protocolsbylaboratory
macintyrelabprotocols,subclassof,protocolsbylaboratory
melacklabprotocols,subclassof,protocolsbylaboratory
reedlabprotocols,subclassof,protocolsbylaboratory
schimmellabprotocols,subclassof,protocolsbylaboratory
washburnlabprotocols,subclassof,protocolsbylaboratory
carbonnitrogenratiobyamount,subclassof,proportion
carbonnitrogenratiobymass,subclassof,proportion
concentration,subclassof,measurement
electrolyticconductivity_seawater,subclassof,measurement
electrolyticconductivity_streamwater,subclassof,measurement
flow,subclassof,measurement
kelppercentnitrogen,subclassof,measurement
sbc_concentrationofammonium_salinewater,subclassof,measurement
concentrationofammonium,subclassof,concentration
suspendedparticulatecarbonnitrogen_chnelementalanalyzer,subclassof,protocolsforelementalanalysis
suspendedparticulatephosphorus_aciddigestion,subclassof,protocolsforelementalanalysis
tissuecarbonnitrogen_chnelementalanalyzer,subclassof,protocolsforelementalanalysis
tissuephosphorus_aciddigestion,subclassof,protocolsforelementalanalysis
drymass,subclassof,mass
wetmass,subclassof,mass
drymassperwetmass,subclassof,masspermass
percentcarbon,subclassof,masspermass
percenthydrogen,subclassof,masspermass
percentnitrogen,subclassof,masspermass
ecologicalhabitat,subclassof,entity
organism,subclassof,entity
physicalfeature,subclassof,entity
phytoplankton,subclassof,entity
process,subclassof,entity
sample,subclassof,entity
spatiallocation,subclassof,entity
suspendedsolids,subclassof,entity
temporalpoint,subclassof,entity
ecosystemprocess,subclassof,process
physicalprocess,subclassof,process
estuary,subclassof,openwaterbody
lake,subclassof,openwaterbody
ocean,subclassof,openwaterbody
stream,subclassof,openwaterbody
fish,subclassof,animal
freshwaterdiscretesample,subclassof,freshwater
freshwatersensorsample,subclassof,freshwater
giantkelp,subclassof,kelp
macrocystis,subclassof,kelp
nereocystis,subclassof,kelp
groundwater,subclassof,porewater
hydrospherephysicalfeature,subclassof,physicalfeature
solidearthphysicalfeature,subclassof,physicalfeature
hydrospherephysicalprocess,subclassof,physicalprocess
solidearthphysicalprocess,subclassof,physicalprocess
interstitialwaterbody,subclassof,waterbody
openwaterbody,subclassof,waterbody
kelp,subclassof,algae
phaeophyceae,subclassof,algae
seaweed,subclassof,algae
lakewaterdiscretesample,subclassof,lake
lakewatersensorsample,subclassof,lake
lakewatersensorsample,subclassof,sample
oceanwaterdiscretesample,subclassof,sample
oceanwatersensorsample,subclassof,sample
sbc_streamwaterdiscretesample,subclassof,sample
sbc_streamwatersensorsample,subclassof,sample
location,subclassof,spatiallocation
plot,subclassof,spatiallocation
subplot,subclassof,spatiallocation
transect,subclassof,spatiallocation
waypoint,subclassof,spatiallocation
molesperliter,subclassof,compositeunit
oceancurrentprocess,subclassof,hydrospherephysicalprocess
streamflowprocess,subclassof,hydrospherephysicalprocess
oceancurrentvelocity,subclassof,flow
streamdischargerate,subclassof,flow
oceanwaterdiscretesample,subclassof,ocean
oceanwatersensorsample,subclassof,ocean
oceanwaterdiscretesample,subclassof,salinewater
oceanwatersensorsample,subclassof,salinewater
percentgrampergram,subclassof,percent
phytoplankton,subclassof,suspendedsolids
precipitationwatersample,subclassof,freshwaterdiscretesample
sbc_streamwaterdiscretesample,subclassof,freshwaterdiscretesample
primaryproduction,subclassof,ecosystemprocess
respiration,subclassof,ecosystemprocess
protocolsbyconstituent,subclassof,protocol
protocolsbyinstrumentation,subclassof,protocol
protocolsbylaboratory,subclassof,protocol
protocolsforelementalanalysis,subclassof,protocol
protocolsfororganictissue,subclassof,protocol
replicateplot,subclassof,plot
replicatetransect,subclassof,transect
sbcsitename,subclassof,name
taggedfish,subclassof,name
taggedkelpfrond,subclassof,name
sbc_concentrationofammonium_freshwater,subclassof,concentrationofammonium
sbc_concentrationofammonium_salinewater,subclassof,concentrationofammonium
sbc_streamwaterdiscretesample,subclassof,stream
sbc_streamwatersensorsample,subclassof,stream
sbc_streamwatersensorsample,subclassof,freshwatersensorsample
salmonid,subclassof,fish
