Subject,Predicate,Object
RareSpeciesBiodiversity,hasSpeciesCount,positiveInteger
Permeability,hasPermeabilityIndex,float
Mineral,hasMineralDensity,float
TraceGas,hasTraceGasConcentration,float
SoilOrganicMatter,hasOrganicMatterContent,percentage
GroundwaterPrecipitation,hasAnnualRainfall,float
Groundwater,hasChemicalConcentration,float
SoilChemistry,hasSoilMoistureContent,percentage
Groundwater,hasTemperature,decimal
ManagementPractice,hasManagementEffectivenessScore,float
InfiltrationArea,hasInfiltrationRate,float
RockType,hasRockPorosity,decimal
Microbes,hasMicrobialDensity,positiveInteger
Vegetation,hasVegetationDensity,positiveInteger
GroundwaterEcosystem,hasCO2EmissionRate,float
GroundwaterChemistry,hasPHLevel,float
AquiferSystem,hasAquiferDepth,float
WaterFlow,hasWaterFlowSpeed,float
NitrogenCycle,hasNitrogenLevel,float
GroundwaterContamination,hasPollutionLevel,float
Biodiversity,hasBiodiversityIndex,float
aquadiva,is a,Ontology
foundIn,is a,Property
influence,is a,Property
hasCharacteristic,is a,Property
affectedBy,is a,Property
occurIn,is a,Property
associatedWith,is a,Property
define,is a,Property
interactWith,is a,Property
relatedTo,is a,Property
hasComponent,is a,Property
hasPhase,is a,Property
indicate,is a,Property
affect,is a,Property
playRoleIn,is a,Property
usedIn,is a,Property
influencedBy,is a,Property
adaptTo,is a,Property
involvedIn,is a,Property
detectedThrough,is a,Property
usedFor,is a,Property
impact,is a,Property
existIn,is a,Property
isFoundIn,is a,Property
isInfluencedBy,is a,Property
isCharacterizedBy,is a,Property
isAffectedBy,is a,Property
occursIn,is a,Property
isAssociatedWith,is a,Property
isDefinedBy,is a,Property
interactsWith,is a,Property
isRelatedTo,is a,Property
hasComponents,is a,Property
isPhaseOf,is a,Property
isIndicatedBy,is a,Property
isAffected,is a,Property
hasRoleIn,is a,Property
isUsedIn,is a,Property
isInfluenced,is a,Property
adaptsTo,is a,Property
isInvolvedIn,is a,Property
isDetectedThrough,is a,Property
isUsedFor,is a,Property
impacts,is a,Property
existsIn,is a,Property
hasMicrobialDensity,is a,DatatypeProperty
hasChemicalConcentration,is a,DatatypeProperty
hasPHLevel,is a,DatatypeProperty
hasTemperature,is a,DatatypeProperty
hasVegetationDensity,is a,DatatypeProperty
hasSoilMoistureContent,is a,DatatypeProperty
hasCO2EmissionRate,is a,DatatypeProperty
hasInfiltrationRate,is a,DatatypeProperty
hasOrganicMatterContent,is a,DatatypeProperty
hasAnnualRainfall,is a,DatatypeProperty
hasNitrogenLevel,is a,DatatypeProperty
hasBiodiversityIndex,is a,DatatypeProperty
hasRockPorosity,is a,DatatypeProperty
hasMineralDensity,is a,DatatypeProperty
hasAquiferDepth,is a,DatatypeProperty
hasWaterFlowSpeed,is a,DatatypeProperty
hasPermeabilityIndex,is a,DatatypeProperty
hasManagementEffectivenessScore,is a,DatatypeProperty
hasPollutionLevel,is a,DatatypeProperty
hasSpeciesCount,is a,DatatypeProperty
hasTraceGasConcentration,is a,DatatypeProperty
interactWith,is a,SymmetricProperty
isAssociatedWith,is a,SymmetricProperty
isRelatedTo,is a,SymmetricProperty
isAffectedBy,is a,TransitiveProperty
isAssociatedWith,is a,TransitiveProperty
occursIn,is a,TransitiveProperty
hasCharacteristic,is a,FunctionalProperty
define,is a,FunctionalProperty
hasComponent,is a,FunctionalProperty
hasPhase,is a,FunctionalProperty
usedIn,is a,FunctionalProperty
existsIn,is a,FunctionalProperty
isUsedFor,is a,FunctionalProperty
isRelatedTo,is a,ReflexiveProperty
interactsWith,is a,ReflexiveProperty
TriassicLimestone,is a,GeologicalFormation
KarstAquiferSystem,is a,KarstAquifer
FracturedRockAquifer,is a,GroundwaterQuality
AquaticMicrobialCommunity,is a,MicrobialCommunity
ForestMicrohabitat,is a,MicrobialCommunity
AquiferFungiSample,is a,Fungi
HighCalciumWater,is a,Groundwater
KarstSpringWater,is a,Groundwater
NitrateRichWater,is a,Groundwater
DesertSpring,is a,Groundwater
ContaminatedSite,is a,GroundwaterContamination
HainichCZObservatory,is a,HainichCriticalZone
CO2ReductionPathway,is a,CO2FixationPathway
AmazonRainforestSoil,is a,SoilGroundwaterInteraction
IndustrialAgricultureArea,is a,AgriculturalActivity
DeepAquifer,is a,AquiferSystem
SubsurfaceBacterialCulture,is a,Microbes
SeasonalWetland,is a,GroundwaterPrecipitation
PhosphateMinerals,is a,Mineral
ChalkAquifer,is a,LimestoneAquifer
RechargeZone,is a,InfiltrationArea
HydraulicConductivityStudy,is a,HydrogeochemicalCharacterizationMethod
