Subject,Predicate,Object
Aquifer,isFoundIn,AquiferFungi
Heterotrophs,hasAbundanceInfluencedBy,AquaticFungi
AquiferFungi,hasSpecies,Species
MicrobialFunctionalGuild,hasCarbonUtilizationRate,float
AquiferChemicalData,associatedWith,MicrobialActivity
AquiferMicrobes,isSimilarTo,AquiferMicrobes
AquiferMicrobes,presentIn,AquiferEnvironment
EnvironmentalConditions,influences,AquiferMicrobes
EnvironmentalConditions,influences,AquiferBiota
ChemicalComposition,influences,AquiferMicrobes
ChemicalComposition,influences,AquiferBiota
AquiferFungi,playsRoleIn,BiogeochemicalCycling
MicrobialCommunities,indicatesHealthOf,AquiferEcosystem
RareSpecies,hasPopulationSize,nonNegativeInteger
RareMicrobialSpecies,hasCorrelationWith,AquiferChemicalData
AquiferMicrobes,modifies,HydrologicalFlow
AquiferMicrobes,modifies,AquiferChemicalData
EnvironmentalConditions,modifies,HydrologicalFlow
EnvironmentalConditions,modifies,AquiferChemicalData
TrophicRelationships,hasEnergyTransferRate,float
OrganicMatter,metabolizedBy,Heterotrophs
AquiferMicrobes,dependsOn,AquiferAbioticFactors
AquiferMicrobes,dependsOn,EnvironmentalConditions
AquiferBiota,dependsOn,AquiferAbioticFactors
AquiferBiota,dependsOn,EnvironmentalConditions
AquiferEnvironment,hasPresenceOf,AquiferMicrobes
SulfurOxidizingBacteria,hasSulfurOxidationRate,float
SulfurOxidizingBacteria,oxidizes,SulfurCycle
AquiferMicrobes,alters,EnvironmentalConditions
MicrobialIndicators,usedToAssess,Biodiversity
MicrobialFunctionalGuild,engagesIn,BiogeochemicalCycling
AquiferChemicalData,correlatedWith,RareMicrobialSpecies
AquiferFungi,interactsWith,AquiferMicrobes
WaterTemperature,hasTemperature,float
AquiferChemicalData,hasTemperature,float
AquiferChemicalData,hasDissolvedOxygen,float
AquiferChemicalData,hasOxygenConcentration,float
BiogeochemicalCycling,hasRolePlayedBy,AquiferFungi
Species,isSpeciesOf,AquiferFungi
AnaerobicMethanogens,hasMethaneProductionRate,float
MicrobialFunctionalGuild,hasActivityLevel,float
TrophicRelationships,hasTrophicLevel,nonNegativeInteger
AquiferChemicalData,haspH,float
AquiferChemicalData,hasPHValue,float
AquiferPermeability,hasPermeability,float
EnvironmentalConditions,hasPressureLevel,float
AquiferMicrobes,contributesTo,NutrientCycling
AquiferFungi,foundIn,Aquifer
Heterotrophs,impacts,MicrobialFunctionalGuild
Heterotrophs,metabolizes,OrganicMatter
MicrobialFunctionalGuild,impactedBy,Heterotrophs
NutrientCycling,hasContributionFrom,AquiferMicrobes
AquiferMicrobes,adaptedTo,ExtremeConditions
MeasuredValue,hasCode,string
MicrobialFunctionalGuild,mediates,BiogeochemicalCycling
AquiferEcosystem,hasHealthIndicatedBy,MicrobialCommunities
AquiferMicrobes,interactedBy,AquiferFungi
Autolithoantatrophy,triggeredBy,EnvironmentalConditions
RareSpecies,hasRarityIndex,float
EnvironmentalConditions,triggers,Autolithoantatrophy
ExtremeConditions,hasAdaptationBy,AquiferMicrobes
SubsurfaceEcosystem,contains,MicrobialFunctionalGuild
MicrobialFunctionalGuild,hasNitrogenFixationRate,float
NitrogenFixingMicrobes,fixes,NitrogenCycle
AquiferMicrobes,inhabits,Aquifer
Biodiversity,assessedBy,MicrobialIndicators
AquiferChemicalData,hasSalinity,float
OBI_0001933,hasSpecifiedValue,real
OBI_0200140,hasFeatureValue,nonNegativeInteger
Heterotrophs,metabolicInteractionWith,AquaticFungi
AquaticFungi,hasMetabolicInteractionFrom,Heterotrophs
AquiferMicrobes,utilizes,OrganicCarbonContent
AquiferChemicalData,hasNitrogenConcentration,float
