Subject,Predicate,Object
ChemicalMeasurement,hasSpecifiedValue,double
ChemicalEntity,hasOxygenConcentration,float
MeasuredValue,hasOxygenConcentration,float
Acid,influences,ChemicalRole
Acid,influences,Biogeochemistry
EnvironmentalContainmentFactor,influences,ChemicalRole
EnvironmentalContainmentFactor,influences,Biogeochemistry
Contaminant,hasContaminantLevel,float
EnvironmentalContainmentFactor,haspH,float
MeasuredValue,haspH,float
EnvironmentalCondition,hasPressureValue,float
Sample,isSampledFrom,AquiferSystem
AquiferSystem,hasEnvironmentalCondition,EnvironmentalCondition
Organism,playsRoleIn,AquaticSystem
Organism,playsRoleIn,GroundwaterEnvironment
BiologicalRole,playsRoleIn,AquaticSystem
BiologicalRole,playsRoleIn,GroundwaterEnvironment
SamplingPoint,hasDepth,float
BiologicalFunction,isPromotedBy,EnvironmentalContainmentFactor
EnvironmentalContainmentFactor,hasTemperature,float
EnvironmentalCondition,hasTemperature,float
WaterSample,hasTurbidity,float
ChemicalRole,isKeyIn,DenitrificationProcess
EnvironmentalCondition,hasFeatureValue,decimal
Sample,hasSamplingDate,date
pH,regulates,MicrobialActivity
SamplingPoint,hasMeasurement,MeasuredValue
SamplingPoint,hasDepthValue,float
BiologicalFunction,isInhibitedBy,Inhibitor
Inhibitor,inhibits,Metabolism
BiologicalEntity,isAffectedBy,Poison
Substance,hasChemicalRole,ChemicalRole
ChemicalEntity,hasChemicalRole,ChemicalRole
Sample,isSampledAt,SamplingPoint
WaterSample,hasTurbidityValue,float
Organism,hasBiologicalRole,BiologicalRole
MeasuredValue,hasCode,string
AquiferSystem,hasOxygenLevel,float
MeasuredValue,hasOxygenLevel,float
SamplingPoint,hasSamplingDepth,float
BiologicalEntity,hasTrophicRole,TrophicRole
AquiferSystem,haspHValue,float
AquiferSystem,haspHLevel,float
EnvironmentalContainmentFactor,affects,BiologicalRole
ChemicalMeasurement,hasMeasurementTime,dateTime
WaterCondition,hasSalinity,float
Poison,hasPoisonousEffectOn,BiologicalEntity
EnvironmentalContainmentFactor,promotes,BiologicalFunction
WaterSample,hasSalinityValue,float
SulfurReducingBacteria,isInvolvedIn,SulfurCycle
ChemicalEntity,hasConcentration,float
Organism,isLocatedIn,AquaticSystem
Organism,isLocatedIn,GroundwaterEnvironment
Organism,isLocatedIn,AquiferSystem
BiologicalRole,isLocatedIn,AquaticSystem
BiologicalRole,isLocatedIn,GroundwaterEnvironment
BiologicalRole,isLocatedIn,AquiferSystem
EnvironmentalCondition,hasTemperatureValue,float
MicrobialEntity,hasMicrobialCount,integer
ChemicalEntity,isCriticalTo,BiogeochemicalProcess
WaterBody,isPartOf,AquaticSystem
AquiferSystem,contains,ChemicalEntity
ChemicalRole,hasElectronDonor,ElectronDonor
ChemicalEntity,hasConcentrationValue,float
Experiment5Role.ttl,is a,Ontology
ENVO_Ontology,is a,Ontology
hasBiologicalRole,is a,ObjectProperty
hasChemicalRole,is a,ObjectProperty
playsRoleIn,is a,ObjectProperty
influences,is a,ObjectProperty
affects,is a,ObjectProperty
inhibits,is a,ObjectProperty
hasPoisonousEffectOn,is a,ObjectProperty
isAffectedBy,is a,ObjectProperty
isLocatedIn,is a,ObjectProperty
regulates,is a,ObjectProperty
promotes,is a,ObjectProperty
isInvolvedIn,is a,ObjectProperty
isKeyIn,is a,ObjectProperty
isPromotedBy,is a,ObjectProperty
isInhibitedBy,is a,ObjectProperty
contains,is a,ObjectProperty
hasElectronDonor,is a,ObjectProperty
isCriticalTo,is a,ObjectProperty
hasTrophicRole,is a,ObjectProperty
isBiologicalRoleOf,is a,ObjectProperty
isChemicalRoleOf,is a,ObjectProperty
hasRolePlayer,is a,ObjectProperty
isInfluencedBy,is a,ObjectProperty
isPoisonedBy,is a,ObjectProperty
isRegulatedBy,is a,ObjectProperty
hasInvolvementFrom,is a,ObjectProperty
hasKeyRoleIn,is a,ObjectProperty
isElectronDonorOf,is a,ObjectProperty
isContainedIn,is a,ObjectProperty
isSimilarTo,is a,ObjectProperty
interactsWith,is a,ObjectProperty
participatesIn,is a,ObjectProperty
hasRole,is a,ObjectProperty
contributesTo,is a,ObjectProperty
isRelatedTo,is a,ObjectProperty
hasConnectionWith,is a,ObjectProperty
collaboratesWith,is a,ObjectProperty
formsPartOf,is a,ObjectProperty
isAssociatedWith,is a,ObjectProperty
hasLocation,is a,ObjectProperty
hasPrimaryRole,is a,ObjectProperty
isInhabitedBy,is a,ObjectProperty
hasElectronAcceptor,is a,ObjectProperty
hasNutrientSource,is a,ObjectProperty
isPartOf,is a,ObjectProperty
isConnectedTo,is a,ObjectProperty
hasMember,is a,ObjectProperty
hasMeasurement,is a,ObjectProperty
isSampledAt,is a,ObjectProperty
hasEnvironmentalCondition,is a,ObjectProperty
isSampledFrom,is a,ObjectProperty
MicrobialSpecies,is a,NamedIndividual
Nitrate,is a,NamedIndividual
comment,is a,AnnotationProperty
label,is a,AnnotationProperty
seeAlso,is a,AnnotationProperty
isDefinedBy,is a,AnnotationProperty
hasConcentration,is a,DatatypeProperty
haspH,is a,DatatypeProperty
hasTemperature,is a,DatatypeProperty
hasContaminantLevel,is a,DatatypeProperty
hasBirthDate,is a,DatatypeProperty
hasUniqueID,is a,DatatypeProperty
haspHLevel,is a,DatatypeProperty
hasCode,is a,DatatypeProperty
hasFeatureValue,is a,DatatypeProperty
hasSpecifiedValue,is a,DatatypeProperty
hasConcentrationValue,is a,DatatypeProperty
hasTemperatureValue,is a,DatatypeProperty
hasMeasurementTime,is a,DatatypeProperty
hasSamplingDate,is a,DatatypeProperty
hasTurbidityValue,is a,DatatypeProperty
hasOxygenConcentration,is a,DatatypeProperty
hasSalinityValue,is a,DatatypeProperty
hasDepthValue,is a,DatatypeProperty
hasPressureValue,is a,DatatypeProperty
hasMicrobialCount,is a,DatatypeProperty
haspHValue,is a,DatatypeProperty
hasOxygenLevel,is a,DatatypeProperty
hasSalinity,is a,DatatypeProperty
hasDepth,is a,DatatypeProperty
hasTurbidity,is a,DatatypeProperty
hasSamplingDepth,is a,DatatypeProperty
Iron,is a,HeavyMetal
Sulfur,is a,ChemicalEntity
SulfurDioxide,is a,ChemicalEntity
Nitrate,is a,ChemicalEntity
IronOxide,is a,ChemicalEntity
CarbonDioxide,is a,ChemicalEntity
Methane,is a,ChemicalEntity
Nitrogen,is a,ChemicalEntity
Iron,is a,ChemicalEntity
Sulfate,is a,ChemicalEntity
Phosphate,is a,ChemicalEntity
Arsenic,is a,Contaminant
MethanotrophicBacteria,is a,MicrobialSpecies
hasCode,is a,FunctionalProperty
KarstAquiferSystem,is a,AquiferSystem
FracturedRockAquifer,is a,AquiferSystem
AlluvialAquifer,is a,AquiferSystem
ConfinedAquifer,is a,AquiferSystem
UnconfinedAquifer,is a,AquiferSystem
KarstAquifer,is a,AquiferSystem
PerchedAquifer,is a,AquiferSystem
LowOxygenEnvironment,is a,EnvironmentalCondition
HighSalinityEnvironment,is a,EnvironmentalCondition
AcidicWaterCondition,is a,EnvironmentalCondition
ThermophilicEnvironment,is a,EnvironmentalCondition
LowOxygenCondition,is a,EnvironmentalCondition
HighSalinityCondition,is a,EnvironmentalCondition
HighTemperatureCondition,is a,EnvironmentalCondition
AcidicCondition,is a,EnvironmentalCondition
AnaerobicCondition,is a,EnvironmentalCondition
SulfateReducingBacteria,is a,MicrobialEntity
MethanogenicArchaea,is a,MicrobialEntity
NitrogenFixingBacteria,is a,MicrobialEntity
DenitrifyingBacteria,is a,MicrobialEntity
ThermophilicBacteria,is a,MicrobialEntity
Decomposer,is a,BiologicalRole
PrimaryProducer,is a,BiologicalRole
PrimaryConsumer,is a,BiologicalRole
SecondaryConsumer,is a,BiologicalRole
Symbiont,is a,BiologicalRole
SymbioticOrganism,is a,BiologicalRole
DeepWellSamplingPoint,is a,SamplingPoint
SurfaceWaterSamplingPoint,is a,SamplingPoint
ShallowWellSamplingPoint,is a,SamplingPoint
GroundwaterSample,is a,Sample
SoilSample,is a,Sample
WaterSample,is a,Sample
BrackishWater,is a,WaterCondition
FreshWater,is a,WaterCondition
SalineWater,is a,WaterCondition
AcidicWater,is a,WaterCondition
pHValue,is a,MeasuredValue
OxygenConcentrationValue,is a,MeasuredValue
TurbidityValue,is a,MeasuredValue
AquiferSystem,is a,AquaticSystem
Wetland,is a,AquaticSystem
Lake,is a,WaterBody
River,is a,WaterBody
